n h rectangle_error trapezoid_error simpson_error
10 0.1 0.0198781685294729 0.000832509589182129 3.15860424193737e-06
20 0.05 0.0101470576556768 0.00020828140365059 2.05341806225334e-07
40 0.025 0.00512558944912267 5.20800805412502e-05 1.29728390252382e-08
80 0.0125 0.00257581413491104 1.30206299207014e-05 8.13047185133087e-10
160 0.00625 0.00129116218679748 3.25519561839016e-06 5.08502129292765e-11
320 0.003125 0.000646394889919355 8.13801288579441e-07 3.17901260871167e-12
640 0.0015625 0.000323400895132941 2.03450470914746e-07 1.98063787593128e-13
